name;mass;abundance
1H;1.007825031898;0.999855
2H;2.014101777844;0.000145
46Ti;45.952626356;0.0825
47Ti;46.951757491;0.07440000000000001
48Ti;47.947940677;0.7372
49Ti;48.947864391;0.0541
50Ti;49.944785622;0.0518
1H1H;2.015650063796;0.9997100210250001
1H2H;3.0219268097420002;0.00014497897500000001
1H46Ti;46.960451387898004;0.08248803750000001
1H47Ti;47.959582522898;0.07438921200000001
1H48Ti;48.955765708898;0.737093106
1H49Ti;49.955689422898004;0.0540921555
1H50Ti;50.952610653898;0.051792489000000004
2H2H;4.028203555688;2.1025e-08
2H46Ti;47.966728133844;1.1962500000000001e-05
2H47Ti;48.965859268844;1.0788e-05
2H48Ti;49.962042454843996;0.000106894
2H49Ti;50.961966168844;7.844500000000001e-06
2H50Ti;51.958887399843995;7.511e-06
46Ti46Ti;91.905252712;0.006806250000000001
46Ti47Ti;92.904383847;0.006138000000000001
46Ti48Ti;93.900567033;0.060819
46Ti49Ti;94.900490747;0.00446325
46Ti50Ti;95.89741197800001;0.0042735
47Ti47Ti;93.903514982;0.005535360000000001
47Ti48Ti;94.899698168;0.05484768
47Ti49Ti;95.899621882;0.0040250400000000006
47Ti50Ti;96.896543113;0.0038539200000000003
48Ti48Ti;95.895881354;0.5434638399999999
48Ti49Ti;96.895805068;0.03988252
48Ti50Ti;97.892726299;0.03818696
49Ti49Ti;97.895728782;0.00292681
49Ti50Ti;98.89265001300001;0.00280238
50Ti50Ti;99.889571244;0.00268324
1H1H1H;3.0234750956939997;0.9995650630719515
1H1H2H;4.0297518416399996;0.00014495795304862502
1H1H46Ti;47.968276419796005;0.0824760767345625
1H1H47Ti;48.967407554796004;0.07437842556426001
1H1H48Ti;49.963590740796;0.73698622749963
1H1H49Ti;50.963514454796005;0.0540843121374525
1H1H50Ti;51.960435685796;0.051784979089095004
1H2H2H;5.036028587586;2.1021951375000004e-08
1H2H46Ti;48.974553165742;1.1960765437500002e-05
1H2H47Ti;49.973684300742;1.0786435740000002e-05
1H2H48Ti;50.969867486742;0.00010687850037000001
1H2H49Ti;51.969791200742;7.843362547500001e-06
1H2H50Ti;52.966712431741996;7.509910905000001e-06
1H46Ti46Ti;92.913077743898;0.0068052630937500014
1H46Ti47Ti;93.912208878898;0.006137109990000002
1H46Ti48Ti;94.908392064898;0.060810181245000004
1H46Ti49Ti;95.908315778898;0.004462602828750001
1H46Ti50Ti;96.905237009898;0.0042728803425
1H47Ti47Ti;94.911340013898;0.005534557372800002
1H47Ti48Ti;95.907523199898;0.0548397270864
1H47Ti49Ti;96.907446913898;0.0040244563692000005
1H47Ti50Ti;97.904368144898;0.0038533611816000003
1H48Ti48Ti;96.90370638589799;0.5433850377432
1H48Ti49Ti;97.903630099898;0.0398767370346
1H48Ti50Ti;98.900551330898;0.038181422890799996
1H49Ti49Ti;98.903553813898;0.0029263856125500004
1H49Ti50Ti;99.900475044898;0.0028019736549000003
1H50Ti50Ti;100.89739627589799;0.0026828509302
2H2H2H;6.042305333532;3.048625e-12
2H2H46Ti;49.980829911688005;1.7345625000000002e-09
2H2H47Ti;50.979961046688004;1.5642600000000003e-09
2H2H48Ti;51.976144232688;1.549963e-08
2H2H49Ti;52.976067946688005;1.1374525000000002e-09
2H2H50Ti;53.972989177688;1.089095e-09
2H46Ti46Ti;93.91935448984401;9.8690625e-07
2H46Ti47Ti;94.91848562484401;8.900100000000002e-07
2H46Ti48Ti;95.914668810844;8.818755e-06
2H46Ti49Ti;96.91459252484401;6.471712500000001e-07
2H46Ti50Ti;97.911513755844;6.196575000000001e-07
2H47Ti47Ti;95.91761675984401;8.026272000000001e-07
2H47Ti48Ti;96.913799945844;7.9529136e-06
2H47Ti49Ti;97.91372365984401;5.836308e-07
2H47Ti50Ti;98.910644890844;5.588184e-07
2H48Ti48Ti;97.909983131844;7.880225679999999e-05
2H48Ti49Ti;98.909906845844;5.7829654e-06
2H48Ti50Ti;99.906828076844;5.537109199999999e-06
2H49Ti49Ti;99.90983055984401;4.2438745000000007e-07
2H49Ti50Ti;100.906751790844;4.0634510000000005e-07
2H50Ti50Ti;101.903673021844;3.890698e-07
46Ti46Ti46Ti;137.85787906800002;0.0005615156250000001
46Ti46Ti47Ti;138.85701020300002;0.0005063850000000001
46Ti46Ti48Ti;139.853193389;0.0050175675
46Ti46Ti49Ti;140.85311710300002;0.00036821812500000006
46Ti46Ti50Ti;141.850038334;0.00035256375
46Ti47Ti47Ti;139.85614133800001;0.00045666720000000013
46Ti47Ti48Ti;140.852324524;0.0045249336
46Ti47Ti49Ti;141.85224823800002;0.0003320658000000001
46Ti47Ti50Ti;142.849169469;0.00031794840000000005
46Ti48Ti48Ti;141.84850771;0.044835766799999996
46Ti48Ti49Ti;142.848431424;0.0032903079
46Ti48Ti50Ti;143.845352655;0.0031504242
46Ti49Ti49Ti;143.84835513800002;0.000241461825
46Ti49Ti50Ti;144.845276369;0.00023119635
46Ti50Ti50Ti;145.8421976;0.0002213673
47Ti47Ti47Ti;140.855272473;0.00041183078400000014
